id;description;marketplace_logo;marketplace_logo_content_type
4ea48220-7234-4eae-8ff8-381815618874;lotion through;../fake-data/blob/hipster.png;image/png
baffd53f-f660-4b6f-be51-0e18dd008738;merrily queasily;../fake-data/blob/hipster.png;image/png
305b00e6-2107-4237-8427-f3bd2120cb89;loftily behind;../fake-data/blob/hipster.png;image/png
e345079c-90c2-4813-a658-4afdef286ead;yet;../fake-data/blob/hipster.png;image/png
d2b707b7-83c7-463d-aa62-4f1643574c50;pierce gratefully meridian;../fake-data/blob/hipster.png;image/png
4ff48816-d130-460f-9d11-b0974999096d;vacantly painfully presell;../fake-data/blob/hipster.png;image/png
4a83dbe9-5f79-438a-8eef-99daa2a1b62e;hence;../fake-data/blob/hipster.png;image/png
949dd23a-e066-4a78-b1ee-4080ff78fab8;skulk once;../fake-data/blob/hipster.png;image/png
7a96bf7b-fcdf-4871-8662-4cacce7c1359;meh woot;../fake-data/blob/hipster.png;image/png
cc09390f-713e-467b-93bd-bf0edef79489;painfully;../fake-data/blob/hipster.png;image/png
